iter	Passed	Remaining
0	0	97
1	1	86
2	2	81
3	3	74
4	3	74
5	4	72
6	5	71
7	6	70
8	6	69
9	7	67
10	8	66
11	8	64
12	9	64
13	10	62
14	10	61
15	11	60
16	12	59
17	12	58
18	13	57
19	14	56
20	14	55
21	15	54
22	15	53
23	16	52
24	17	51
25	17	50
26	18	49
27	18	48
28	19	47
29	20	47
30	20	46
31	21	45
32	22	44
33	22	44
34	23	43
35	23	42
36	24	41
37	25	41
38	25	40
39	26	39
40	27	38
41	27	37
42	28	37
43	28	36
44	29	36
45	30	35
46	31	35
47	31	34
48	32	33
49	33	33
50	33	32
51	34	32
52	35	31
53	36	30
54	36	29
55	37	29
56	37	28
57	38	28
58	39	27
59	40	26
60	41	26
61	42	25
62	42	25
63	43	24
64	44	23
65	45	23
66	46	22
67	47	22
68	47	21
69	48	20
70	49	20
71	50	19
72	51	19
73	52	18
74	53	17
75	55	17
76	56	16
77	57	16
78	57	15
79	58	14
80	59	13
81	60	13
82	60	12
83	61	11
84	62	10
85	63	10
86	63	9
87	64	8
88	65	8
89	66	7
90	66	6
91	67	5
92	68	5
93	68	4
94	69	3
95	70	2
96	70	2
97	71	1
98	72	0
99	72	0
